Customer Name,Email,Phone,City,Region
Carissa,Nunc.laoreet.lectus@faucibus.ca,1-763-372-5203,Meridian,Idaho
Sandra,netus.et.malesuada@pharetraNam.org,1-415-570-5218,Dover,Delaware
Cora,congue.elit@nonsollicitudin.edu,1-475-451-1207,Owensboro,Kentucky
Rogan,cursus.Integer.mollis@Donec.edu,1-188-361-1156,Athens,Georgia
Candace,convallis.in.cursus@porttitorerosnec.org,1-597-313-3760,Iowa City,Iowa
Lucius,Quisque.imperdiet.erat@euismodetcommodo.edu,1-320-308-3820,Omaha,Nebraska
Maryam,ligula.eu.enim@volutpatNulla.edu,1-168-108-8953,Portland,Oregon
Savannah,nec.ante.blandit@tellusSuspendissesed.co.uk,1-403-738-5166,Oklahoma City,Oklahoma
Kimberly,elementum.purus@anteNuncmauris.net,1-291-448-8900,Paradise,Nevada
Nell,iaculis@auctorodio.com,1-105-604-4339,Olympia,Washington
Miranda,Donec.at@Donec.com,1-980-882-4313,Joliet,Illinois
Rama,non.arcu@adipiscingelit.ca,1-285-298-1728,Spokane,Washington
Dorian,Fusce@Sedmalesuada.ca,1-597-838-6975,Little Rock,Arkansas
Casey,adipiscing.non.luctus@quisdiamPellentesque.com,1-288-618-2369,Jackson,Mississippi
Nathan,lorem@magnaPraesent.net,1-953-155-6783,Little Rock,Arkansas
Neville,ipsum.Donec@hendreritidante.com,1-931-932-4627,Tampa,Florida
Jayme,sociosqu.ad@QuisquevariusNam.org,1-336-341-1883,Henderson,Nevada
Randall,Lorem@Nullatincidunt.co.uk,1-292-246-0168,Bloomington,Minnesota
Ila,congue.turpis@nostraperinceptos.ca,1-100-682-5379,Reading,Pennsylvania
Barry,convallis@hendreritneque.org,1-739-739-4078,Augusta,Georgia
Sylvia,adipiscing@tempordiam.com,1-105-240-3598,San Jose,California
Imelda,vitae.aliquam@ipsumCurabitur.edu,1-812-829-8239,Flint,Michigan
Teegan,orci.Donec.nibh@mattissemper.com,1-564-123-1465,Knoxville,Tennessee
Yolanda,eu.arcu.Morbi@ut.ca,1-209-961-1655,Boston,Massachusetts
Elvis,risus.a@malesuada.com,1-808-350-1744,Bangor,Maine
Janna,mi@vulputate.org,1-795-950-5532,Saint Paul,Minnesota
Fritz,quis@augueut.co.uk,1-889-586-3202,Davenport,Iowa
Charde,eu.arcu@maurisipsumporta.ca,1-234-687-2114,Rockford,Illinois
Guinevere,dictum.eleifend.nunc@idblandit.net,1-548-397-5322,Davenport,Iowa
